geoid_x,name,total_population,under_18_population,age_65_plus_population,asian_alone_population,black_alone_population,hispanic_or_latino_population,white_alone_population,median_household_income,households_total,households_no_vehicle,households_no_vehicle_pct,poverty_rate_pct,tract,block_group,pct_under_18,pct_65_plus,pct_hispanic,pct_asian,tract_geoid,geoid_y,food_biz_count,food_biz_per_1k,access_score,access_class,tract_lat,tract_lon
060855018004,Block Group 4; Census Tract 5018; Santa Clara County; California,1515,406,209,164,49,480,913,226083,0,0,,,501800,4,26.8,13.8,31.7,10.8,06085501800,06085501800,15,3.13,6,underserved,37.3163695,-121.8965524
060855019011,Block Group 1; Census Tract 5019.01; Santa Clara County; California,3126,326,368,1055,431,684,993,147727,0,0,,,501901,1,10.4,11.8,21.9,33.7,06085501901,06085501901,16,5.12,8,underserved,37.3236809,-121.9078195
060855019021,Block Group 1; Census Tract 5019.02; Santa Clara County; California,2264,349,28,682,79,884,638,169531,0,0,,,501902,1,15.4,1.2,39.0,30.1,06085501902,06085501902,4,1.11,6,underserved,37.3162127,-121.9087833
060855019022,Block Group 2; Census Tract 5019.02; Santa Clara County; California,1355,114,110,309,27,496,459,102292,0,0,,,501902,2,8.4,8.1,36.6,22.8,06085501902,06085501902,4,1.11,6,underserved,37.3162127,-121.9087833
060855020011,Block Group 1; Census Tract 5020.01; Santa Clara County; California,1336,506,67,159,0,668,144,63240,0,0,,,502001,1,37.9,5.0,50.0,11.9,06085502001,06085502001,34,6.86,9,highly_underserved,37.3224577,-121.9330738
060855020012,Block Group 2; Census Tract 5020.01; Santa Clara County; California,759,97,177,137,0,284,319,81530,0,0,,,502001,2,12.8,23.3,37.4,18.1,06085502001,06085502001,34,6.86,9,highly_underserved,37.3224577,-121.9330738
060855020013,Block Group 3; Census Tract 5020.01; Santa Clara County; California,1368,428,134,308,33,318,839,206157,0,0,,,502001,3,31.3,9.8,23.2,22.5,06085502001,06085502001,34,6.86,9,highly_underserved,37.3224577,-121.9330738
060855020014,Block Group 4; Census Tract 5020.01; Santa Clara County; California,1493,277,208,124,76,1010,395,94185,0,0,,,502001,4,18.6,13.9,67.6,8.3,06085502001,06085502001,34,6.86,9,highly_underserved,37.3224577,-121.9330738
060855020021,Block Group 1; Census Tract 5020.02; Santa Clara County; California,658,193,97,95,0,511,89,68967,0,0,,,502002,1,29.3,14.7,77.7,14.4,06085502002,06085502002,8,1.6,11,highly_underserved,37.319403,-121.9209269
060855020022,Block Group 2; Census Tract 5020.02; Santa Clara County; California,1565,283,61,119,109,1054,405,114500,0,0,,,502002,2,18.1,3.9,67.3,7.6,06085502002,06085502002,8,1.6,11,highly_underserved,37.319403,-121.9209269
060855020023,Block Group 3; Census Tract 5020.02; Santa Clara County; California,2762,713,149,372,32,1568,708,130221,0,0,,,502002,3,25.8,5.4,56.8,13.5,06085502002,06085502002,8,1.6,11,highly_underserved,37.319403,-121.9209269
060855021011,Block Group 1; Census Tract 5021.01; Santa Clara County; California,1340,264,83,376,0,245,586,200565,0,0,,,502101,1,19.7,6.2,18.3,28.1,06085502101,06085502101,10,1.87,9,highly_underserved,37.3059451,-121.9360263
060855021012,Block Group 2; Census Tract 5021.01; Santa Clara County; California,987,194,184,257,0,209,477,160268,0,0,,,502101,2,19.7,18.6,21.2,26.0,06085502101,06085502101,10,1.87,9,highly_underserved,37.3059451,-121.9360263
060855021013,Block Group 3; Census Tract 5021.01; Santa Clara County; California,3034,477,958,769,137,671,1359,119375,0,0,,,502101,3,15.7,31.6,22.1,25.3,06085502101,06085502101,10,1.87,9,highly_underserved,37.3059451,-121.9360263
060855021031,Block Group 1; Census Tract 5021.03; Santa Clara County; California,2065,382,235,353,41,1266,471,82652,0,0,,,502103,1,18.5,11.4,61.3,17.1,06085502103,06085502103,8,1.89,9,highly_underserved,37.31332,-121.92366
060855021032,Block Group 2; Census Tract 5021.03; Santa Clara County; California,2160,279,238,396,264,841,520,100368,0,0,,,502103,2,12.9,11.0,38.9,18.3,06085502103,06085502103,8,1.89,9,highly_underserved,37.31332,-121.92366
060855021041,Block Group 1; Census Tract 5021.04; Santa Clara County; California,1715,410,185,520,38,606,427,156118,0,0,,,502104,1,23.9,10.8,35.3,30.3,06085502104,06085502104,13,5.29,8,underserved,37.3061059,-121.9278721
060855021042,Block Group 2; Census Tract 5021.04; Santa Clara County; California,744,123,176,166,22,257,276,79850,0,0,,,502104,2,16.5,23.7,34.5,22.3,06085502104,06085502104,13,5.29,8,underserved,37.3061059,-121.9278721
060855022021,Block Group 1; Census Tract 5022.02; Santa Clara County; California,1400,229,260,172,51,367,757,120341,0,0,,,502202,1,16.4,18.6,26.2,12.3,06085502202,06085502202,24,7.62,8,underserved,37.2980468,-121.9205873
060855022022,Block Group 2; Census Tract 5022.02; Santa Clara County; California,1107,122,182,53,99,334,577,134896,0,0,,,502202,2,11.0,16.4,30.2,4.8,06085502202,06085502202,24,7.62,8,underserved,37.2980468,-121.9205873
060855022023,Block Group 3; Census Tract 5022.02; Santa Clara County; California,643,36,122,235,0,12,331,87206,0,0,,,502202,3,5.6,19.0,1.9,36.5,06085502202,06085502202,24,7.62,8,underserved,37.2980468,-121.9205873
060855022031,Block Group 1; Census Tract 5022.03; Santa Clara County; California,1822,154,372,627,94,316,667,99659,0,0,,,502203,1,8.5,20.4,17.3,34.4,06085502203,06085502203,10,2.58,9,highly_underserved,37.3063756,-121.9180681
060855022032,Block Group 2; Census Tract 5022.03; Santa Clara County; California,2053,235,300,313,22,897,664,180729,0,0,,,502203,2,11.4,14.6,43.7,15.2,06085502203,06085502203,10,2.58,9,highly_underserved,37.3063756,-121.9180681
060855022041,Block Group 1; Census Tract 5022.04; Santa Clara County; California,2122,555,277,285,220,1136,665,80172,0,0,,,502204,1,26.2,13.1,53.5,13.4,06085502204,06085502204,1,0.29,12,highly_underserved,37.3013832,-121.9258424
060855022042,Block Group 2; Census Tract 5022.04; Santa Clara County; California,1272,512,16,217,0,580,475,35942,0,0,,,502204,2,40.3,1.3,45.6,17.1,06085502204,06085502204,1,0.29,12,highly_underserved,37.3013832,-121.9258424
060855023011,Block Group 1; Census Tract 5023.01; Santa Clara County; California,1772,289,274,228,39,540,913,152159,0,0,,,502301,1,16.3,15.5,30.5,12.9,06085502301,06085502301,21,6.95,2,well_served,37.3010965,-121.9070616
060855023012,Block Group 2; Census Tract 5023.01; Santa Clara County; California,1249,212,266,172,20,286,734,217986,0,0,,,502301,2,17.0,21.3,22.9,13.8,06085502301,06085502301,21,6.95,2,well_served,37.3010965,-121.9070616
060855023021,Block Group 1; Census Tract 5023.02; Santa Clara County; California,1172,233,161,152,39,301,649,178245,0,0,,,502302,1,19.9,13.7,25.7,13.0,06085502302,06085502302,11,3.37,4,moderate,37.3083189,-121.908379
060855023022,Block Group 2; Census Tract 5023.02; Santa Clara County; California,2089,375,330,221,40,1035,828,121098,0,0,,,502302,2,18.0,15.8,49.5,10.6,06085502302,06085502302,11,3.37,4,moderate,37.3083189,-121.908379
060855024001,Block Group 1; Census Tract 5024; Santa Clara County; California,617,63,55,31,0,60,511,250001,0,0,,,502400,1,10.2,8.9,9.7,5.0,06085502400,06085502400,45,6.33,3,moderate,37.3046948,-121.8926106
060855024002,Block Group 2; Census Tract 5024; Santa Clara County; California,903,266,122,0,0,234,691,250001,0,0,,,502400,2,29.5,13.5,25.9,0.0,06085502400,06085502400,45,6.33,3,moderate,37.3046948,-121.8926106
060855024003,Block Group 3; Census Tract 5024; Santa Clara County; California,789,167,208,0,17,168,550,250001,0,0,,,502400,3,21.2,26.4,21.3,0.0,06085502400,06085502400,45,6.33,3,moderate,37.3046948,-121.8926106
060855024004,Block Group 4; Census Tract 5024; Santa Clara County; California,837,256,24,143,0,97,567,250001,0,0,,,502400,4,30.6,2.9,11.6,17.1,06085502400,06085502400,45,6.33,3,moderate,37.3046948,-121.8926106
060855024005,Block Group 5; Census Tract 5024; Santa Clara County; California,1449,245,399,226,46,414,657,123828,0,0,,,502400,5,16.9,27.5,28.6,15.6,06085502400,06085502400,45,6.33,3,moderate,37.3046948,-121.8926106
060855024006,Block Group 6; Census Tract 5024; Santa Clara County; California,1348,287,349,219,0,159,849,202543,0,0,,,502400,6,21.3,25.9,11.8,16.2,06085502400,06085502400,45,6.33,3,moderate,37.3046948,-121.8926106
060855024007,Block Group 7; Census Tract 5024; Santa Clara County; California,1164,221,228,51,0,246,779,247865,0,0,,,502400,7,19.0,19.6,21.1,4.4,06085502400,06085502400,45,6.33,3,moderate,37.3046948,-121.8926106
060855025001,Block Group 1; Census Tract 5025; Santa Clara County; California,920,211,87,116,35,20,751,229444,0,0,,,502500,1,22.9,9.5,2.2,12.6,06085502500,06085502500,14,2.07,3,moderate,37.2931927,-121.8928401
060855025002,Block Group 2; Census Tract 5025; Santa Clara County; California,1093,382,133,187,97,376,347,227481,0,0,,,502500,2,34.9,12.2,34.4,17.1,06085502500,06085502500,14,2.07,3,moderate,37.2931927,-121.8928401
060855025003,Block Group 3; Census Tract 5025; Santa Clara County; California,777,127,109,230,4,3,391,216131,0,0,,,502500,3,16.3,14.0,0.4,29.6,06085502500,06085502500,14,2.07,3,moderate,37.2931927,-121.8928401
060855025004,Block Group 4; Census Tract 5025; Santa Clara County; California,603,69,214,121,28,0,415,250001,0,0,,,502500,4,11.4,35.5,0.0,20.1,06085502500,06085502500,14,2.07,3,moderate,37.2931927,-121.8928401
060855025005,Block Group 5; Census Tract 5025; Santa Clara County; California,2304,553,297,143,0,1082,1301,163729,0,0,,,502500,5,24.0,12.9,47.0,6.2,06085502500,06085502500,14,2.07,3,moderate,37.2931927,-121.8928401
060855025006,Block Group 6; Census Tract 5025; Santa Clara County; California,1051,262,122,207,0,175,678,237389,0,0,,,502500,6,24.9,11.6,16.7,19.7,06085502500,06085502500,14,2.07,3,moderate,37.2931927,-121.8928401
060855026011,Block Group 1; Census Tract 5026.01; Santa Clara County; California,810,221,110,123,33,173,490,250001,0,0,,,502601,1,27.3,13.6,21.4,15.2,06085502601,06085502601,15,4.51,5,moderate,37.2902315,-121.914692
060855026012,Block Group 2; Census Tract 5026.01; Santa Clara County; California,1341,440,280,76,27,641,617,242750,0,0,,,502601,2,32.8,20.9,47.8,5.7,06085502601,06085502601,15,4.51,5,moderate,37.2902315,-121.914692
060855026013,Block Group 3; Census Tract 5026.01; Santa Clara County; California,1178,71,476,242,0,174,588,129375,0,0,,,502601,3,6.0,40.4,14.8,20.5,06085502601,06085502601,15,4.51,5,moderate,37.2902315,-121.914692
060855026031,Block Group 1; Census Tract 5026.03; Santa Clara County; California,689,134,159,163,7,56,328,146667,0,0,,,502603,1,19.4,23.1,8.1,23.7,06085502603,06085502603,25,8.88,4,moderate,37.2876026,-121.9272392
060855026032,Block Group 2; Census Tract 5026.03; Santa Clara County; California,984,186,250,112,15,72,785,204167,0,0,,,502603,2,18.9,25.4,7.3,11.4,06085502603,06085502603,25,8.88,4,moderate,37.2876026,-121.9272392
060855026033,Block Group 3; Census Tract 5026.03; Santa Clara County; California,1143,235,180,188,5,95,739,250001,0,0,,,502603,3,20.6,15.7,8.3,16.4,06085502603,06085502603,25,8.88,4,moderate,37.2876026,-121.9272392
