geoid,tract,block_group,total_population,under_18_population,age_65_plus_population,white_alone_population,black_alone_population,asian_alone_population,hispanic_or_latino_population,median_household_income,households_total,households_no_vehicle,households_no_vehicle_pct,poverty_rate_pct
60855021031,502103,1,2065,382,235,471,41,353,1266,82652,0,0,,
60855021032,502103,2,2160,279,238,520,264,396,841,100368,0,0,,
60855021041,502104,1,1715,410,185,427,38,520,606,156118,0,0,,
60855021042,502104,2,744,123,176,276,22,166,257,79850,0,0,,
60855022021,502202,1,1400,229,260,757,51,172,367,120341,0,0,,
60855022022,502202,2,1107,122,182,577,99,53,334,134896,0,0,,
60855022023,502202,3,643,36,122,331,0,235,12,87206,0,0,,
60855022031,502203,1,1822,154,372,667,94,627,316,99659,0,0,,
60855022032,502203,2,2053,235,300,664,22,313,897,180729,0,0,,
60855022041,502204,1,2122,555,277,665,220,285,1136,80172,0,0,,
60855022042,502204,2,1272,512,16,475,0,217,580,35942,0,0,,
60855023011,502301,1,1772,289,274,913,39,228,540,152159,0,0,,
60855023012,502301,2,1249,212,266,734,20,172,286,217986,0,0,,
60855023021,502302,1,1172,233,161,649,39,152,301,178245,0,0,,
60855023022,502302,2,2089,375,330,828,40,221,1035,121098,0,0,,
60855024001,502400,1,617,63,55,511,0,31,60,250001,0,0,,
60855024002,502400,2,903,266,122,691,0,0,234,250001,0,0,,
60855024003,502400,3,789,167,208,550,17,0,168,250001,0,0,,
60855024004,502400,4,837,256,24,567,0,143,97,250001,0,0,,
60855024005,502400,5,1449,245,399,657,46,226,414,123828,0,0,,
60855024006,502400,6,1348,287,349,849,0,219,159,202543,0,0,,
60855024007,502400,7,1164,221,228,779,0,51,246,247865,0,0,,
60855025001,502500,1,920,211,87,751,35,116,20,229444,0,0,,
60855025002,502500,2,1093,382,133,347,97,187,376,227481,0,0,,
60855025003,502500,3,777,127,109,391,4,230,3,216131,0,0,,
60855025004,502500,4,603,69,214,415,28,121,0,250001,0,0,,
60855025005,502500,5,2304,553,297,1301,0,143,1082,163729,0,0,,
60855025006,502500,6,1051,262,122,678,0,207,175,237389,0,0,,
60855026011,502601,1,810,221,110,490,33,123,173,250001,0,0,,
60855026012,502601,2,1341,440,280,617,27,76,641,242750,0,0,,
60855026013,502601,3,1178,71,476,588,0,242,174,129375,0,0,,
60855026031,502603,1,689,134,159,328,7,163,56,146667,0,0,,
60855026032,502603,2,984,186,250,785,15,112,72,204167,0,0,,
60855026033,502603,3,1143,235,180,739,5,188,95,250001,0,0,,
60855026041,502604,1,1615,416,140,592,254,190,528,97717,0,0,,
60855026042,502604,2,820,64,90,397,0,299,50,214028,0,0,,
60855026043,502604,3,1677,194,240,989,0,229,340,108780,0,0,,
60855027011,502701,1,1427,275,279,787,75,374,265,132895,0,0,,
60855027012,502701,2,2654,956,143,966,30,860,519,132959,0,0,,
60855027013,502701,3,1610,290,197,718,23,209,681,141523,0,0,,
60855027031,502703,1,1249,298,301,453,12,437,336,221118,0,0,,
60855027032,502703,2,1114,204,164,537,93,350,80,140404,0,0,,
60855027033,502703,3,1933,479,178,753,42,719,197,145833,0,0,,
60855027041,502704,1,1484,378,289,243,42,1026,125,95000,0,0,,
60855027042,502704,2,1355,263,193,776,150,295,159,184643,0,0,,
60855027043,502704,3,1426,378,265,578,14,672,44,250001,0,0,,
60855028001,502800,1,1146,195,174,698,0,218,337,199188,0,0,,
60855028002,502800,2,1781,480,163,579,20,659,473,154375,0,0,,
60855028003,502800,3,1309,257,293,650,0,355,215,179375,0,0,,
60855029011,502901,1,2055,606,242,930,105,267,605,186702,0,0,,
60855029012,502901,2,1252,272,142,738,1,346,196,195057,0,0,,
60855029013,502901,3,858,144,131,509,0,156,160,211140,0,0,,
60855029014,502901,4,1879,296,168,893,71,255,726,95194,0,0,,
60855029021,502902,1,2976,1120,528,2450,0,222,140,221944,0,0,,
60855029022,502902,2,2574,578,194,1310,0,830,376,210938,0,0,,
60855029023,502902,3,3500,789,583,2120,16,807,630,183984,0,0,,
60855029031,502903,1,2145,545,391,1486,0,292,246,250001,0,0,,
60855029032,502903,2,1642,405,237,743,10,587,197,247344,0,0,,
60855029033,502903,3,1531,332,282,692,9,421,343,220500,0,0,,
