business_id,name,address,city,postal_code,lat,lon,tract_geoid,median_household_income,poverty_rate_pct,access_class,access_score
PR0306181,DOUGH ZONE DUMPLING HOUSE,1701 LUNDY AV 100,San Jose,95131,37.3871545,-121.8876188,06085504322,167583,14.2,moderate,5
PR0306182,SEOUL GOM TANG,3028 EL CAMINO REAL,Santa Clara,95051,37.351746,-121.981186,06085505401,162000,14.4,underserved,6
PR0306183,MOUNTAIN MIKE'S BRANHAM,2306 ALMADEN RD # 170,San Jose,95125,37.290477,-121.880189,06085503124,124229,15.6,underserved,8
PR0306189,KIZUNA,6174 BOLLINGER RD,San Jose,95129,37.3087164,-122.0134893,06085507903,223571,2.5,moderate,3
PR0306190,STARBUCKS COFFEE #558,854 BLOSSOM HILL RD,San Jose,95123,37.249141,-121.857889,06085512052,132699,5.5,underserved,6
PR0306193,SAFEWAY STORE #1455-DELI,840 E DUNNE AV,Morgan Hill,95037,37.1287745,-121.6362571999,06085512310,100506,8.3,underserved,8
PR0306194,SAFEWAY STORE #1455,840 E DUNNE AV,Morgan Hill,95037,37.1287745,-121.6362571999,06085512310,100506,8.3,underserved,8
PR0306195,SAFEWAY STORE #1455-BAKERY,840 E DUNNE AV,Morgan Hill,95037,37.1287745,-121.6362571999,06085512310,100506,8.3,underserved,8
PR0306197,FAST PIZZA DELIVERY,860 WILLOW ST # 300,San Jose,95125,37.3105046,-121.8966018,06085502400,222311,6.8,moderate,3
PR0306199,STARBUCKS COFFEE #6702,1087 MERIDIAN AV 70,San Jose,95125,37.304418,-121.914062,06085502202,113958,9.8,underserved,8
PR0306200,AK'S SQUARE MARKET,31 E SANTA CLARA ST,San Jose,95113,37.336595,-121.890063,06085501000,58775,19.4,highly_underserved,9
PR0306202,VAN DEVELOPMENT INC CHEVRON,200 LOS GATOS-SARATOGA RD,Los Gatos,95030,37.229337,-121.981251,06085507100,159821,3.8,moderate,4
PR0306207,FAST PIZZA,797 E JULIAN ST,San Jose,95112,37.348275,-121.877939,06085501200,108913,13.5,highly_underserved,10
PR0306211,TOKYO SUSHI,1715 LUNDY AV # 156,San Jose,95131,37.387519,-121.88731,06085504322,167583,14.2,moderate,5
