geoid,name,state,county,tract,total_population,under_18_population,age_65_plus_population,white_alone_population,black_alone_population,asian_alone_population,hispanic_or_latino_population,median_household_income,households_total,households_no_vehicle,households_no_vehicle_pct,poverty_rate_pct
06085500100,Census Tract 5001; Santa Clara County; California,06,085,500100,8285,1595,929,1235,17,983,150,163061,2987,145,4.85,6.0
06085504509,Census Tract 5045.09; Santa Clara County; California,06,085,504509,4921,910,184,238,0,126,0,181165,2086,64,3.07,2.5
06085504510,Census Tract 5045.10; Santa Clara County; California,06,085,504510,3900,722,368,430,0,379,11,159186,1476,206,13.96,9.3
06085504601,Census Tract 5046.01; Santa Clara County; California,06,085,504601,1212,170,300,429,0,243,13,74250,542,19,3.51,10.1
06085504602,Census Tract 5046.02; Santa Clara County; California,06,085,504602,1542,255,207,372,0,266,0,121953,521,9,1.73,7.5
06085504700,Census Tract 5047; Santa Clara County; California,06,085,504700,845,381,3,398,0,301,0,194917,223,0,0.0,1.7
06085504802,Census Tract 5048.02; Santa Clara County; California,06,085,504802,4506,604,727,1211,0,1004,10,116525,1694,123,7.26,8.3
06085504805,Census Tract 5048.05; Santa Clara County; California,06,085,504805,7409,1028,1284,2781,0,1972,0,149207,3138,93,2.96,8.7
06085504806,Census Tract 5048.06; Santa Clara County; California,06,085,504806,2753,359,520,666,0,588,0,158750,826,121,14.65,3.5
06085504807,Census Tract 5048.07; Santa Clara County; California,06,085,504807,5920,600,646,1585,0,1280,0,230829,2869,152,5.3,3.4
06085504808,Census Tract 5048.08; Santa Clara County; California,06,085,504808,2111,465,327,403,0,332,26,117054,691,132,19.1,10.5
06085504902,Census Tract 5049.02; Santa Clara County; California,06,085,504902,4410,988,439,900,41,666,0,196797,1797,144,8.01,3.8
06085504903,Census Tract 5049.03; Santa Clara County; California,06,085,504903,5228,995,224,852,15,524,0,226711,2240,58,2.59,3.4
06085505006,Census Tract 5050.06; Santa Clara County; California,06,085,505006,11179,1524,182,1917,197,1176,0,240086,5613,319,5.68,6.6
06085505007,Census Tract 5050.07; Santa Clara County; California,06,085,505007,4223,780,762,1055,11,770,53,164115,1005,5,0.5,7.0
06085505010,Census Tract 5050.10; Santa Clara County; California,06,085,505010,4756,996,491,766,0,550,127,202663,1557,122,7.84,9.9
06085505011,Census Tract 5050.11; Santa Clara County; California,06,085,505011,4828,795,395,968,49,721,17,156446,1964,212,10.79,2.9
06085505012,Census Tract 5050.12; Santa Clara County; California,06,085,505012,2659,220,103,872,0,737,23,218750,1525,57,3.74,0.8
06085505013,Census Tract 5050.13; Santa Clara County; California,06,085,505013,5637,477,132,1096,15,810,0,215775,2698,414,15.34,5.7
06085505014,Census Tract 5050.14; Santa Clara County; California,06,085,505014,6478,1116,332,631,0,493,619,159833,2652,131,4.94,7.8
06085505015,Census Tract 5050.15; Santa Clara County; California,06,085,505015,5169,821,293,838,13,580,9,167422,1889,161,8.52,3.5
06085505100,Census Tract 5051; Santa Clara County; California,06,085,505100,3993,568,521,781,0,580,40,115395,2050,332,16.2,14.5
06085505202,Census Tract 5052.02; Santa Clara County; California,06,085,505202,8273,1303,778,1936,13,1400,1,164928,3808,323,8.48,19.1
06085505203,Census Tract 5052.03; Santa Clara County; California,06,085,505203,5725,329,257,2794,0,2336,45,139028,1519,141,9.28,27.8
06085505301,Census Tract 5053.01; Santa Clara County; California,06,085,505301,5414,813,516,967,0,816,16,200781,2055,132,6.42,5.7
06085505302,Census Tract 5053.02; Santa Clara County; California,06,085,505302,4958,1088,612,1631,10,1328,3,213365,1679,110,6.55,6.3
06085505303,Census Tract 5053.03; Santa Clara County; California,06,085,505303,5877,872,701,1567,47,1267,137,124491,2231,45,2.02,4.8
06085505304,Census Tract 5053.04; Santa Clara County; California,06,085,505304,3499,590,539,1068,10,947,4,226731,1182,18,1.52,5.7
06085505305,Census Tract 5053.05; Santa Clara County; California,06,085,505305,5672,1067,744,2092,0,1634,0,205550,2205,88,3.99,6.3
06085505401,Census Tract 5054.01; Santa Clara County; California,06,085,505401,6607,569,700,1472,0,1058,66,162000,2908,94,3.23,14.4
06085505402,Census Tract 5054.02; Santa Clara County; California,06,085,505402,3051,492,463,876,0,736,1,167457,1207,154,12.76,10.5
06085505403,Census Tract 5054.03; Santa Clara County; California,06,085,505403,8136,1667,585,1856,39,1308,32,182500,3660,214,5.85,6.1
06085505500,Census Tract 5055; Santa Clara County; California,06,085,505500,4771,1060,545,2016,0,1603,0,171855,1695,36,2.12,3.9
06085505600,Census Tract 5056; Santa Clara County; California,06,085,505600,4808,464,536,2466,10,1982,116,140263,1462,156,10.67,20.1
06085505700,Census Tract 5057; Santa Clara County; California,06,085,505700,5636,605,656,2239,48,1619,0,125740,2605,133,5.11,18.4
06085505800,Census Tract 5058; Santa Clara County; California,06,085,505800,3683,741,513,2122,0,1815,0,169722,1524,9,0.59,4.2
06085505901,Census Tract 5059.01; Santa Clara County; California,06,085,505901,4101,617,603,1856,0,1607,4,182763,1636,307,18.77,4.9
06085505902,Census Tract 5059.02; Santa Clara County; California,06,085,505902,3893,610,575,1722,0,1383,73,107079,1842,46,2.5,7.0
06085506000,Census Tract 5060; Santa Clara County; California,06,085,506000,4988,837,759,2055,15,1384,0,197202,1809,8,0.44,3.0
06085506101,Census Tract 5061.01; Santa Clara County; California,06,085,506101,4643,1088,810,1755,11,1399,21,190750,1604,70,4.36,4.4
