geoid,name,state,county,tract,block_group,total_population,under_18_population,age_65_plus_population,white_alone_population,black_alone_population,asian_alone_population,hispanic_or_latino_population,median_household_income,households_total,households_no_vehicle,households_no_vehicle_pct,poverty_rate_pct
060855119173,Block Group 3; Census Tract 5119.17; Santa Clara County; California,06,085,511917,3,1494,265,557,517,26,918,0,229821,0,0,,
060855119181,Block Group 1; Census Tract 5119.18; Santa Clara County; California,06,085,511918,1,538,117,118,226,0,241,17,250001,0,0,,
060855119182,Block Group 2; Census Tract 5119.18; Santa Clara County; California,06,085,511918,2,2705,623,543,1093,0,882,575,250001,0,0,,
060855120011,Block Group 1; Census Tract 5120.01; Santa Clara County; California,06,085,512001,1,960,279,155,103,30,475,153,203095,0,0,,
060855120012,Block Group 2; Census Tract 5120.01; Santa Clara County; California,06,085,512001,2,1445,256,246,318,98,535,464,202760,0,0,,
060855120013,Block Group 3; Census Tract 5120.01; Santa Clara County; California,06,085,512001,3,1451,231,198,463,0,644,324,208547,0,0,,
060855120014,Block Group 4; Census Tract 5120.01; Santa Clara County; California,06,085,512001,4,2246,491,234,465,70,1517,146,222167,0,0,,
060855120051,Block Group 1; Census Tract 5120.05; Santa Clara County; California,06,085,512005,1,1448,436,289,818,0,382,343,203150,0,0,,
060855120052,Block Group 2; Census Tract 5120.05; Santa Clara County; California,06,085,512005,2,475,92,57,229,37,103,54,215096,0,0,,
060855120053,Block Group 3; Census Tract 5120.05; Santa Clara County; California,06,085,512005,3,793,204,273,605,0,97,91,164688,0,0,,
060855120054,Block Group 4; Census Tract 5120.05; Santa Clara County; California,06,085,512005,4,2190,586,190,812,19,577,936,215365,0,0,,
060855120055,Block Group 5; Census Tract 5120.05; Santa Clara County; California,06,085,512005,5,1744,287,223,865,1,653,157,197636,0,0,,
060855120191,Block Group 1; Census Tract 5120.19; Santa Clara County; California,06,085,512019,1,764,130,256,340,0,332,99,123750,0,0,,
060855120192,Block Group 2; Census Tract 5120.19; Santa Clara County; California,06,085,512019,2,1918,408,217,801,40,501,705,136528,0,0,,
060855120193,Block Group 3; Census Tract 5120.19; Santa Clara County; California,06,085,512019,3,1698,453,296,643,1,480,636,87354,0,0,,
060855120211,Block Group 1; Census Tract 5120.21; Santa Clara County; California,06,085,512021,1,1151,193,123,420,0,420,212,174234,0,0,,
060855120212,Block Group 2; Census Tract 5120.21; Santa Clara County; California,06,085,512021,2,1415,277,344,525,31,695,181,149919,0,0,,
060855120213,Block Group 3; Census Tract 5120.21; Santa Clara County; California,06,085,512021,3,1815,371,273,614,71,551,517,140816,0,0,,
060855120214,Block Group 4; Census Tract 5120.21; Santa Clara County; California,06,085,512021,4,1401,242,232,183,51,956,253,150133,0,0,,
060855120221,Block Group 1; Census Tract 5120.22; Santa Clara County; California,06,085,512022,1,1041,214,185,274,26,596,120,169028,0,0,,
060855120222,Block Group 2; Census Tract 5120.22; Santa Clara County; California,06,085,512022,2,2417,250,515,390,0,1502,437,86100,0,0,,
060855120223,Block Group 3; Census Tract 5120.22; Santa Clara County; California,06,085,512022,3,2817,912,348,359,159,989,1224,95045,0,0,,
060855120231,Block Group 1; Census Tract 5120.23; Santa Clara County; California,06,085,512023,1,1891,275,262,617,40,548,716,135179,0,0,,
060855120232,Block Group 2; Census Tract 5120.23; Santa Clara County; California,06,085,512023,2,1597,503,141,344,76,308,982,94074,0,0,,
060855120233,Block Group 3; Census Tract 5120.23; Santa Clara County; California,06,085,512023,3,1858,419,163,365,150,402,1066,118173,0,0,,
060855120241,Block Group 1; Census Tract 5120.24; Santa Clara County; California,06,085,512024,1,1547,438,300,800,40,466,141,145363,0,0,,
060855120242,Block Group 2; Census Tract 5120.24; Santa Clara County; California,06,085,512024,2,1749,349,175,644,0,399,719,166250,0,0,,
060855120243,Block Group 3; Census Tract 5120.24; Santa Clara County; California,06,085,512024,3,1992,354,334,748,148,178,882,98083,0,0,,
060855120251,Block Group 1; Census Tract 5120.25; Santa Clara County; California,06,085,512025,1,2182,385,521,811,45,780,270,217400,0,0,,
060855120252,Block Group 2; Census Tract 5120.25; Santa Clara County; California,06,085,512025,2,880,231,145,463,29,170,183,240761,0,0,,
