geoid,name,total_population,median_household_income,poverty_rate_pct,households_no_vehicle_pct,total_food_businesses,fresh_food_businesses,limited_fresh_food_businesses,restaurant_businesses,fresh_food_share,fresh_food_per_1000_people,food_access_priority_score
06085506301,Census Tract 5063.01; Santa Clara County; California,4994,138411,9.6,5.31,34,2,3,8,0.058823529411764705,0.4004805766920304,6.677899999999999
06085511609,Census Tract 5116.09; Santa Clara County; California,3441,148365,6.0,10.88,87,5,0,29,0.05747126436781609,1.4530659691950014,6.64564
06085512027,Census Tract 5120.27; Santa Clara County; California,3908,106406,7.2,9.11,64,5,2,14,0.078125,1.2794268167860798,6.58482
06085503304,Census Tract 5033.04; Santa Clara County; California,6566,101039,9.4,5.47,65,3,4,12,0.046153846153846156,0.45689917758148035,6.582233333333334
06085512313,Census Tract 5123.13; Santa Clara County; California,4008,107198,11.0,3.86,32,3,1,14,0.09375,0.7485029940119761,6.5682
06085512032,Census Tract 5120.32; Santa Clara County; California,3754,173750,12.3,2.2,19,3,1,3,0.15789473684210525,0.7991475759190197,6.555266666666666
06085512401,Census Tract 5124.01; Santa Clara County; California,3961,197540,12.3,1.76,10,2,0,2,0.2,0.5049229992426155,6.5470999999999995
06085509107,Census Tract 5091.07; Santa Clara County; California,5107,143611,4.6,9.86,6,0,0,1,0.0,0.0,6.520999999999999
06085503802,Census Tract 5038.02; Santa Clara County; California,7647,114023,8.9,5.7,9,3,1,0,0.3333333333333333,0.39231071008238527,6.5098
06085507002,Census Tract 5070.02; Santa Clara County; California,3325,250001,12.2,0.0,1,0,0,0,0.0,0.0,6.49
06085503222,Census Tract 5032.22; Santa Clara County; California,5434,122526,4.5,11.63,20,3,1,4,0.15,0.5520794994479205,6.457766666666666
06085504805,Census Tract 5048.05; Santa Clara County; California,7409,149207,8.7,2.96,9,1,1,2,0.1111111111111111,0.13497098123903362,6.432799999999999
06085502202,Census Tract 5022.02; Santa Clara County; California,3150,113958,9.8,4.81,24,2,0,5,0.08333333333333333,0.6349206349206349,6.4085
06085511704,Census Tract 5117.04; Santa Clara County; California,4480,250001,10.8,1.49,5,0,0,2,0.0,0.0,6.3815
06085508507,Census Tract 5085.07; Santa Clara County; California,3388,174267,10.6,3.63,13,2,1,3,0.15384615384615385,0.5903187721369539,6.3793
06085504308,Census Tract 5043.08; Santa Clara County; California,4898,212941,8.0,5.0,7,0,1,0,0.0,0.0,6.35
06085502703,Census Tract 5027.03; Santa Clara County; California,4296,145541,10.8,1.6,14,1,1,2,0.07142857142857142,0.23277467411545624,6.2792
06085506605,Census Tract 5066.05; Santa Clara County; California,4275,139265,8.0,5.13,13,1,2,5,0.07692307692307693,0.23391812865497075,6.250500000000001
06085505014,Census Tract 5050.14; Santa Clara County; California,6478,159833,7.8,4.94,7,0,0,5,0.0,0.0,6.239
06085502601,Census Tract 5026.01; Santa Clara County; California,3329,193125,3.4,12.81,15,3,0,5,0.2,0.9011715229798738,6.235433333333334
06085503707,Census Tract 5037.07; Santa Clara County; California,4665,109000,6.4,6.85,9,1,0,6,0.1111111111111111,0.21436227224008575,6.2105
06085508505,Census Tract 5085.05; Santa Clara County; California,4833,205625,8.0,4.55,10,0,1,3,0.0,0.0,6.1925
06085512038,Census Tract 5120.38; Santa Clara County; California,3217,101308,8.4,4.03,1,0,0,0,0.0,0.0,6.1905
06085505302,Census Tract 5053.02; Santa Clara County; California,4958,213365,6.3,6.55,18,1,0,3,0.05555555555555555,0.20169423154497781,6.1190999999999995
06085512514,Census Tract 5125.14; Santa Clara County; California,2899,111250,7.5,4.98,2,0,1,1,0.0,0.0,6.118
06085509106,Census Tract 5091.06; Santa Clara County; California,4123,159951,6.2,8.31,33,2,1,7,0.06060606060606061,0.4850836769342712,6.1108
06085503336,Census Tract 5033.36; Santa Clara County; California,2861,190000,7.0,5.56,5,0,0,2,0.0,0.0,6.096
06085502104,Census Tract 5021.04; Santa Clara County; California,2459,102105,9.6,2.2,13,0,1,3,0.0,0.0,6.09
06085505011,Census Tract 5050.11; Santa Clara County; California,4828,156446,2.9,10.79,3,0,0,0,0.0,0.0,6.081499999999999
06085510500,Census Tract 5105; Santa Clara County; California,4911,250001,5.2,7.77,19,0,0,7,0.0,0.0,6.0595
06085506401,Census Tract 5064.01; Santa Clara County; California,4758,172134,6.8,7.57,57,3,0,15,0.05263157894736842,0.6305170239596469,6.0267
06085506103,Census Tract 5061.03; Santa Clara County; California,5187,231563,6.2,7.62,19,2,0,2,0.10526315789473684,0.385579332947754,5.9757
