geoid,name,total_population,median_household_income,poverty_rate_pct,households_no_vehicle_pct,total_food_businesses,fresh_food_businesses,limited_fresh_food_businesses,restaurant_businesses,fresh_food_share,fresh_food_per_1000_people,food_access_priority_score,limited_fresh_food_per_1000_people,restaurant_per_1000_people,fresh_food_access_raw,fresh_food_access_score,access_vulnerability_score,priority_area_flag,access_label
06085503708,Census Tract 5037.08; Santa Clara County; California,2530,103446,11.9,9.62,25,5,0,4,0.2,1.976284584980237,8.8232,0.0,1.5810276679841897,0.45315226908253375,94.1,5.9,False,Strong fresh-food access
06085501502,Census Tract 5015.02; Santa Clara County; California,4350,111089,11.7,9.47,7,4,1,0,0.5714285714285714,0.9195402298850575,8.796999999999999,0.22988505747126436,0.0,0.31497092197788495,70.1,29.9,False,Above-average fresh-food access
06085503126,Census Tract 5031.26; Santa Clara County; California,3964,178929,11.8,7.09,3,0,1,0,0.0,0.0,8.7915,0.2522704339051463,0.0,0.22844258962892783,14.0,86.0,True,Highest access vulnerability
06085512603,Census Tract 5126.03; Santa Clara County; California,4877,90139,14.8,5.74,66,8,3,24,0.1212121212121212,1.6403526758253024,8.790925,0.6151322534344884,4.921058027475907,0.40380207044722394,89.7,10.3,False,Strong fresh-food access
06085509600,Census Tract 5096; Santa Clara County; California,3724,188676,14.7,5.61,97,5,0,23,0.0515463917525773,1.3426423200859292,8.72746,0.0,6.176154672395274,0.4116660326417956,90.4,9.6,False,Strong fresh-food access
06085512043,Census Tract 5120.43; Santa Clara County; California,5266,81984,7.1,12.79,12,1,2,2,0.0833333333333333,0.189897455374098,8.7247,0.379794910748196,0.379794910748196,0.20461839819044228,5.6,94.4,True,Highest access vulnerability
06085503124,Census Tract 5031.24; Santa Clara County; California,6075,124229,15.6,1.85,18,0,1,6,0.0,0.0,8.6675,0.1646090534979424,0.9876543209876543,0.2055098371612314,6.1,93.9,True,Highest access vulnerability
06085506304,Census Tract 5063.04; Santa Clara County; California,5956,113893,11.8,6.73,11,0,1,2,0.0,0.0,8.665500000000002,0.16789791806581597,0.33579583613163194,0.19780642456013445,4.9,95.1,True,Highest access vulnerability
06085509902,Census Tract 5099.02; Santa Clara County; California,5161,222955,10.9,10.41,33,11,0,3,0.3333333333333333,2.1313698895562876,8.642336363636364,0.0,0.5812826971517148,0.5320842693407386,97.1,2.9,False,Strong fresh-food access
06085501401,Census Tract 5014.01; Santa Clara County; California,2902,80216,7.9,14.25,26,6,0,2,0.2307692307692307,2.067539627842867,8.639233333333333,0.0,0.6891798759476223,0.45245836780790694,93.9,6.1,False,Strong fresh-food access
06085500600,Census Tract 5006; Santa Clara County; California,5748,140045,9.0,11.44,27,2,1,9,0.074074074074074,0.34794711203897005,8.628799999999998,0.17397355601948503,1.5657620041753653,0.2530382648842331,27.2,72.8,False,Lower fresh-food access
06085508708,Census Tract 5087.08; Santa Clara County; California,6682,250001,7.3,14.66,60,7,1,16,0.1166666666666666,1.047590541753966,8.606914285714286,0.14965579167913798,2.3944926668662077,0.39712126052173957,89.2,10.8,False,Strong fresh-food access
06085503602,Census Tract 5036.02; Santa Clara County; California,4876,98611,7.9,13.62,18,4,0,4,0.2222222222222222,0.8203445447087777,8.5658,0.0,0.8203445447087777,0.2943813157566962,60.5,39.5,False,Above-average fresh-food access
06085501901,Census Tract 5019.01; Santa Clara County; California,3126,147727,9.2,12.27,16,5,0,6,0.3125,1.599488163787588,8.55954,0.0,1.9193857965451055,0.4234728399326866,92.2,7.8,False,Strong fresh-food access
06085502203,Census Tract 5022.03; Santa Clara County; California,3875,125750,12.7,5.77,10,1,0,4,0.1,0.25806451612903225,8.5095,0.0,1.032258064516129,0.23858099454730775,18.9,81.1,True,Highest access vulnerability
06085509303,Census Tract 5093.03; Santa Clara County; California,3565,175288,5.4,14.29,1,0,0,0,0.0,0.0,8.4315,0.0,0.0,0.22425141451826702,12.3,87.7,True,Highest access vulnerability
06085503711,Census Tract 5037.11; Santa Clara County; California,4023,109167,16.5,1.72,10,2,0,2,0.2,0.49714143673875216,8.4293,0.0,0.49714143673875216,0.26380712068731277,35.5,64.5,False,Lower fresh-food access
06085503117,Census Tract 5031.17; Santa Clara County; California,2602,79205,10.2,10.38,31,3,3,3,0.0967741935483871,1.1529592621060722,8.396466666666665,1.1529592621060722,1.1529592621060722,0.33213618476934426,76.2,23.8,False,Above-average fresh-food access
06085509401,Census Tract 5094.01; Santa Clara County; California,4746,149258,7.7,13.03,16,3,1,3,0.1875,0.6321112515802781,8.341899999999999,0.21070375052675938,0.6321112515802781,0.2950641601071462,61.0,39.0,False,Above-average fresh-food access
06085512057,Census Tract 5120.57; Santa Clara County; California,4385,176016,9.6,8.57,6,0,0,1,0.0,0.0,8.3195,0.0,0.22805017103762829,0.22828765174857785,13.2,86.8,True,Highest access vulnerability
06085503110,Census Tract 5031.10; Santa Clara County; California,3617,77353,14.2,4.43,12,2,1,2,0.1666666666666666,0.552944429084877,8.3022,0.2764722145424385,0.552944429084877,0.254848733255539,29.2,70.8,False,Lower fresh-food access
06085512019,Census Tract 5120.19; Santa Clara County; California,4380,122813,14.3,2.83,8,1,0,1,0.125,0.228310502283105,8.3015,0.0,0.228310502283105,0.23614918391513212,17.4,82.6,True,Highest access vulnerability
06085505401,Census Tract 5054.01; Santa Clara County; California,6607,162000,14.4,3.23,43,2,4,9,0.0465116279069767,0.3027092477675193,8.2712,0.6054184955350386,1.362191614953837,0.26406488102420916,36.0,64.0,False,Lower fresh-food access
06085512042,Census Tract 5120.42; Santa Clara County; California,2830,111875,9.6,8.37,8,0,1,2,0.0,0.0,8.2495,0.35335689045936397,0.7067137809187279,0.19774777315186154,4.7,95.3,True,Highest access vulnerability
06085501700,Census Tract 5017; Santa Clara County; California,4871,94736,13.1,5.34,42,3,0,13,0.0714285714285714,0.6158899609936358,8.088733333333332,0.0,2.6688564976390885,0.2720009291503481,40.4,59.6,False,Moderate fresh-food access
06085504414,Census Tract 5044.14; Santa Clara County; California,5141,165761,11.2,7.03,19,2,1,1,0.1052631578947368,0.3890293717175647,8.014600000000002,0.19451468585878234,0.19451468585878234,0.27589047026627295,42.4,57.6,False,Moderate fresh-food access
06085502101,Census Tract 5021.01; Santa Clara County; California,5361,144038,11.3,5.41,10,0,1,2,0.0,0.0,7.9785,0.18653236336504384,0.37306472673008767,0.21611650201836466,8.8,91.2,True,Highest access vulnerability
06085506505,Census Tract 5065.05; Santa Clara County; California,4187,115833,15.2,2.38,8,3,0,2,0.375,0.7165034631000716,7.952133333333333,0.0,0.47766897540004777,0.29781152908204356,63.7,36.3,False,Above-average fresh-food access
06085503306,Census Tract 5033.06; Santa Clara County; California,3852,119091,10.4,7.91,17,2,0,6,0.1176470588235294,0.5192107995846313,7.833700000000001,0.0,1.557632398753894,0.27066631393423374,39.2,60.8,False,Lower fresh-food access
06085502910,Census Tract 5029.10; Santa Clara County; California,3785,110091,11.7,6.9,43,8,1,9,0.1860465116279069,2.1136063408190227,7.774624999999999,0.26420079260237783,2.3778071334214004,0.4809909408601003,95.3,4.7,False,Strong fresh-food access
06085504002,Census Tract 5040.02; Santa Clara County; California,6376,92091,11.3,4.03,21,1,1,6,0.0476190476190476,0.15683814303638646,7.770700000000001,0.15683814303638646,0.9410288582183187,0.21509966910236836,8.3,91.7,True,Highest access vulnerability
06085504318,Census Tract 5043.18; Santa Clara County; California,7989,106535,14.6,2.11,55,4,1,15,0.0727272727272727,0.5006884466140944,7.70795,0.1251721116535236,1.877581674802854,0.26595936967632655,37.3,62.7,False,Lower fresh-food access
06085504319,Census Tract 5043.19; Santa Clara County; California,5980,227279,10.3,6.67,28,2,1,7,0.0714285714285714,0.33444816053511706,7.5675,0.16722408026755853,1.1705685618729098,0.30075707949176966,65.4,34.6,False,Above-average fresh-food access
06085503401,Census Tract 5034.01; Santa Clara County; California,4073,111576,13.9,3.1,15,4,0,3,0.2666666666666666,0.9820770930518046,7.543649999999999,0.0,0.7365578197888534,0.33265284296535014,76.5,23.5,False,Above-average fresh-food access
06085509202,Census Tract 5092.02; Santa Clara County; California,4222,228462,10.4,7.33,18,3,0,5,0.1666666666666666,0.7105637138796779,7.526966666666667,0.0,1.1842728564661298,0.35049265099078586,80.4,19.6,False,Strong fresh-food access
06085504001,Census Tract 5040.01; Santa Clara County; California,4873,87364,11.2,6.16,22,3,0,7,0.1363636363636363,0.615637184485943,7.520866666666667,0.0,1.4364867638005336,0.27045036912110604,39.0,61.0,False,Lower fresh-food access
06085503113,Census Tract 5031.13; Santa Clara County; California,4028,95625,4.6,13.07,13,1,0,5,0.0769230769230769,0.24826216484607747,7.450099999999999,0.0,1.2413108242303872,0.22344048199384312,11.8,88.2,True,Highest access vulnerability
06085512310,Census Tract 5123.10; Santa Clara County; California,5234,100506,8.3,10.09,36,6,1,13,0.1666666666666666,1.146350783339702,7.440966666666667,0.19105846388995032,2.4837600305693543,0.34589693541623073,79.7,20.3,False,Above-average fresh-food access
06085504322,Census Tract 5043.22; Santa Clara County; California,5285,167583,14.2,2.22,31,4,0,8,0.1290322580645161,0.7568590350047304,7.431249999999999,0.0,1.5137180700094608,0.33055105538088614,75.7,24.3,False,Above-average fresh-food access
06085510803,Census Tract 5108.03; Santa Clara County; California,3406,250001,7.0,10.21,8,1,0,4,0.125,0.29359953024075164,7.4047,0.0,1.1743981209630066,0.30532005290488295,67.6,32.4,True,Above-average fresh-food access
06085503116,Census Tract 5031.16; Santa Clara County; California,6396,109509,7.9,7.24,12,1,0,2,0.0833333333333333,0.15634771732332708,7.368200000000001,0.0,0.31269543464665417,0.22343826785856505,11.5,88.5,True,Highest access vulnerability
06085503511,Census Tract 5035.11; Santa Clara County; California,3560,125972,9.5,5.97,2,0,0,0,0.0,0.0,7.3645,0.0,0.0,0.20978578901333333,7.1,92.9,True,Highest access vulnerability
06085512024,Census Tract 5120.24; Santa Clara County; California,5288,136168,8.8,8.66,41,3,2,9,0.073170731707317,0.56732223903177,7.343533333333333,0.37821482602118,1.70196671709531,0.28699513040892116,50.7,49.3,False,Moderate fresh-food access
06085508707,Census Tract 5087.07; Santa Clara County; California,3907,173165,7.0,9.09,5,0,1,0,0.0,0.0,7.3315,0.2559508574353724,0.0,0.23096898690773676,15.0,85.0,True,Highest access vulnerability
06085503903,Census Tract 5039.03; Santa Clara County; California,2911,131806,9.0,6.49,13,0,0,2,0.0,0.0,7.3215,0.0,0.6870491240123668,0.21250077598320538,7.8,92.2,True,Highest access vulnerability
06085508005,Census Tract 5080.05; Santa Clara County; California,3835,206389,5.4,11.74,32,1,0,9,0.03125,0.2607561929595828,7.306,0.0,2.346805736636245,0.2797961440135562,45.8,54.2,False,Moderate fresh-food access
06085504802,Census Tract 5048.02; Santa Clara County; California,4506,116525,8.3,7.26,16,0,3,7,0.0,0.0,7.276,0.6657789613848203,1.5534842432312472,0.2048954852778025,5.9,94.1,True,Highest access vulnerability
06085505010,Census Tract 5050.10; Santa Clara County; California,4756,202663,9.9,7.84,213,20,1,83,0.0938967136150234,4.205214465937763,7.24656,0.21026072329688814,17.451640033641716,0.8094757858736384,99.8,0.2,False,Strong fresh-food access
06085508508,Census Tract 5085.08; Santa Clara County; California,5873,133065,10.3,4.1,11,1,1,3,0.0909090909090909,0.17027073046143368,7.2446,0.17027073046143368,0.510812191384301,0.23852267717272255,18.6,81.4,True,Highest access vulnerability
06085508503,Census Tract 5085.03; Santa Clara County; California,6020,167763,8.0,9.91,42,7,1,7,0.1666666666666666,1.1627906976744187,7.2405,0.16611295681063123,1.1627906976744187,0.3815503711269642,85.8,14.2,False,Strong fresh-food access
